group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,1506165.0,ns,1
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,3179737.0,ns,2
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,4005673.0,ns,3
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,6008159.0,ns,4
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,8204453.0,ns,5
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,11683804.0,ns,6
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,9197297.0,ns,7
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,15763379.0,ns,8
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,13650689.0,ns,9
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,16045792.0,ns,10
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,20144368.0,ns,11
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,18003277.0,ns,12
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,28810842.0,ns,13
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,23256602.0,ns,14
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,27302978.0,ns,15
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,44460116.0,ns,16
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,32594705.0,ns,17
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,30372309.0,ns,18
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,31314550.0,ns,19
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,27553488.0,ns,20
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,27950205.0,ns,21
mate_in_2,,https://lichess.org/analysis/5rk1/ppp2pbp/3p2p1/1q6/4r1P1/1NP1B3/PP2nPP1/R2QR2K_b_-,,,37211904.0,ns,22
