group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,1318902.0,ns,27
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,1913602.0,ns,54
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,2858503.0,ns,81
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,4071505.0,ns,108
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,4981906.0,ns,135
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,5830307.0,ns,162
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,6801708.0,ns,189
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,8055810.0,ns,216
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,8682910.0,ns,243
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,9870412.0,ns,270
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,11533814.0,ns,297
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,12996715.0,ns,324
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,13042616.0,ns,351
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,14507917.0,ns,378
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,15346018.0,ns,405
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,16870420.0,ns,432
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,18252322.0,ns,459
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,18649422.0,ns,486
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,19867124.0,ns,513
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,20352224.0,ns,540
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,21165526.0,ns,567
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,21381425.0,ns,594
mate_in_2,,https://lichess.org/analysis/5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1_w_-,,,22637327.0,ns,621
