group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,1295576.0,ns,1
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,1595893.0,ns,2
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,2384339.0,ns,3
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,4413958.0,ns,4
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,3748718.0,ns,5
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,5172602.0,ns,6
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,8738110.0,ns,7
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,8963523.0,ns,8
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,8472194.0,ns,9
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,7629545.0,ns,10
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,12756045.0,ns,11
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,15913128.0,ns,12
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,14343537.0,ns,13
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,17320610.0,ns,14
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,16884085.0,ns,15
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,16144542.0,ns,16
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,16192444.0,ns,17
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,18711192.0,ns,18
mate_in_2,,https://lichess.org/analysis/6R1/2k2P2/1n5r/3p1p2/3P3b/1QP2p1q/3R4/6K1_b_-,,,17708233.0,ns,19
