group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,2058607.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,3711292.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,5712895.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,5233871.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,6176219.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,8452038.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,8866158.0,ns,14
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,10014818.0,ns,16
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,14049427.0,ns,18
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,17314696.0,ns,20
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,14098429.0,ns,22
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,20582264.0,ns,24
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,25559422.0,ns,26
mate_in_2,,https://lichess.org/analysis/6k1/1p5p/3P3r/4p3/2N1PBpb/PPr5/3R1P1K/5b1R_b_-,,,27552526.0,ns,28
