group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,1868693.0,ns,1
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,2552227.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,4551727.0,ns,3
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,6142006.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,6203909.0,ns,5
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,7438071.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,8760936.0,ns,7
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,10037600.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,11813189.0,ns,9
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,13686181.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,13825589.0,ns,11
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,15029949.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,16721433.0,ns,13
mate_in_2,,https://lichess.org/analysis/6k1/2R1Qpb1/3Bp1p1/1p2n2p/3q4/1P5P/2N2PPK/r7_b_-,,,18404217.0,ns,14
