group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,1539475.0,ns,1
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,1589877.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,2377216.0,ns,3
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,4283708.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,7086643.0,ns,5
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,6322007.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,5837783.0,ns,7
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,6753028.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,7081744.0,ns,9
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,10283599.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,9651968.0,ns,11
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,9837077.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,11865276.0,ns,13
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,17648556.0,ns,14
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,16739812.0,ns,15
mate_in_2,,https://lichess.org/analysis/6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8_w_-,,,15219338.0,ns,16
