group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,2644333.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,4475424.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,12536429.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,8024102.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,10105306.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,12227213.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,13635884.0,ns,14
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,16239614.0,ns,16
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,18789942.0,ns,18
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,21589282.0,ns,20
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,20596232.0,ns,22
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,25409274.0,ns,24
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,22314119.0,ns,26
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,29358671.0,ns,28
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,30989854.0,ns,30
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,32073307.0,ns,32
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,36177614.0,ns,34
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,37261867.0,ns,36
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,39771894.0,ns,38
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,41644887.0,ns,40
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,43121762.0,ns,42
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,45117461.0,ns,44
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,47825597.0,ns,46
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,49181565.0,ns,48
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,50716842.0,ns,50
mate_in_2,,https://lichess.org/analysis/6k1/4q1b1/p1p1p1Q1/1r4N1/4p3/1P5R/5P2/7K_w_-,,,58010008.0,ns,52
