group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,2553978.0,ns,1
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,2444469.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,4153889.0,ns,3
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,4856738.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,6311938.0,ns,5
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,7366812.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,8868616.0,ns,7
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,9747577.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,11952631.0,ns,9
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,12180246.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,13394731.0,ns,11
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,22227344.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,21488693.0,ns,13
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,21483493.0,ns,14
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,25530174.0,ns,15
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,20668136.0,ns,16
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,21713308.0,ns,17
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,23665545.0,ns,18
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,24841025.0,ns,19
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,24467900.0,ns,20
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,27237393.0,ns,21
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,34492196.0,ns,22
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,30767538.0,ns,23
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,44318779.0,ns,24
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,36821959.0,ns,25
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,32301544.0,ns,26
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,36328324.0,ns,27
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,38388867.0,ns,28
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,42308438.0,ns,29
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,36967466.0,ns,30
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,39268427.0,ns,31
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,40970844.0,ns,32
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,42415245.0,ns,33
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,43455617.0,ns,34
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,55359543.0,ns,35
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,50452303.0,ns,36
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,57978125.0,ns,37
mate_in_2,,https://lichess.org/analysis/6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K_w_-,,,47452194.0,ns,38
