group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,1626683.0,ns,1
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,1889296.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,2822843.0,ns,3
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,3747590.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,6163412.0,ns,5
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,8414327.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,8508031.0,ns,7
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,9384576.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,10169915.0,ns,9
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,13304674.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,13344877.0,ns,11
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,15219071.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,13946507.0,ns,13
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,18787352.0,ns,14
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,18153021.0,ns,15
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,15266373.0,ns,16
mate_in_2,,https://lichess.org/analysis/6k1/p2p2p1/8/3np1N1/1P5R/3q2P1/5RKP/8_w_-,,,16750149.0,ns,17
