group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,1668363.0,ns,2
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,3744840.0,ns,4
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,6233434.0,ns,6
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,8689225.0,ns,8
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,10750003.0,ns,10
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,11969448.0,ns,12
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,12799979.0,ns,14
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,11625435.0,ns,16
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,19412027.0,ns,18
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,22618547.0,ns,20
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,24194806.0,ns,22
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,27237220.0,ns,24
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,26601796.0,ns,26
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,27044013.0,ns,28
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,32504617.0,ns,30
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,28292460.0,ns,32
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,35629534.0,ns,34
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,38477541.0,ns,36
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,40471215.0,ns,38
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,34157979.0,ns,40
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,37885918.0,ns,42
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,39494279.0,ns,44
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,43235819.0,ns,46
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,50078675.0,ns,48
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,48497416.0,ns,50
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,53097389.0,ns,52
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,46889456.0,ns,54
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,64926731.0,ns,56
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,71658183.0,ns,58
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,72403011.0,ns,60
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,56054799.0,ns,62
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,57849366.0,ns,64
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,74603494.0,ns,66
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,62045423.0,ns,68
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,68372760.0,ns,70
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,77324196.0,ns,72
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,62899755.0,ns,74
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,68862278.0,ns,76
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,61187992.0,ns,78
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,85398697.0,ns,80
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,96707922.0,ns,82
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,78494139.0,ns,84
mate_in_2,,https://lichess.org/analysis/6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K_b_-,,,78729248.0,ns,86
