group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,1705091.0,ns,1
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,1850900.0,ns,2
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,2570037.0,ns,3
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,4493941.0,ns,4
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,5833613.0,ns,5
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,4961166.0,ns,6
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,5332386.0,ns,7
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,9598214.0,ns,8
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,12288359.0,ns,9
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,12958595.0,ns,10
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,12239656.0,ns,11
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,13572327.0,ns,12
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,17315428.0,ns,13
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,17880058.0,ns,14
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,20069176.0,ns,15
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,22075683.0,ns,16
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,21158534.0,ns,17
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,23287348.0,ns,18
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,25872186.0,ns,19
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,25820284.0,ns,20
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,26045996.0,ns,21
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,28633435.0,ns,22
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,27007247.0,ns,23
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,31443086.0,ns,24
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,31300577.0,ns,25
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,22013080.0,ns,26
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,31241174.0,ns,27
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,35570607.0,ns,28
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,37079787.0,ns,29
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,33460794.0,ns,30
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,37161892.0,ns,31
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,38831481.0,ns,32
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,40928193.0,ns,33
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,44248371.0,ns,34
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,41643932.0,ns,35
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,43624438.0,ns,36
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,36329847.0,ns,37
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,53211952.0,ns,38
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,67433115.0,ns,39
mate_in_2,,https://lichess.org/analysis/6rk/6p1/4R2p/p2pP2b/5Q2/2P2PB1/1q4PK/8_w_-,,,52833531.0,ns,40
