group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,1735789.0,ns,2
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,3544482.0,ns,4
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,5322873.0,ns,6
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,6599839.0,ns,8
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,7023761.0,ns,10
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,6780648.0,ns,12
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,9013762.0,ns,14
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,8868455.0,ns,16
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,12937364.0,ns,18
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,16959771.0,ns,20
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,19832118.0,ns,22
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,19919222.0,ns,24
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,22032131.0,ns,26
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,22948177.0,ns,28
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,17218584.0,ns,30
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,26176444.0,ns,32
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,21435600.0,ns,34
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,25771022.0,ns,36
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,34082250.0,ns,38
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,29507314.0,ns,40
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,31835934.0,ns,42
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,38055953.0,ns,44
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,41444227.0,ns,46
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,78044605.0,ns,48
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,39824144.0,ns,50
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,42307872.0,ns,52
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,45728446.0,ns,54
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,39398122.0,ns,56
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,48379982.0,ns,58
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,51064320.0,ns,60
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,53048921.0,ns,62
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,55817364.0,ns,64
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,54115676.0,ns,66
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,57107330.0,ns,68
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,56067376.0,ns,70
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,60451702.0,ns,72
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,66353404.0,ns,74
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,65385555.0,ns,76
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,61347747.0,ns,78
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,67946586.0,ns,80
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,75999199.0,ns,82
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,74832439.0,ns,84
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,73221957.0,ns,86
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,63672866.0,ns,88
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,71880586.0,ns,90
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,70623222.0,ns,92
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,69579569.0,ns,94
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,75114252.0,ns,96
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,96601854.0,ns,98
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,86729348.0,ns,100
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,81942203.0,ns,102
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,74872939.0,ns,104
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,89665899.0,ns,106
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,75821689.0,ns,108
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,89432086.0,ns,110
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,82417427.0,ns,112
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,90245627.0,ns,114
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,111679225.0,ns,116
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,96471346.0,ns,118
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,115009096.0,ns,120
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,111337708.0,ns,122
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,104549260.0,ns,124
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,111301006.0,ns,126
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,109511815.0,ns,128
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,106813276.0,ns,130
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,105812724.0,ns,132
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,99555502.0,ns,134
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,103117484.0,ns,136
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,117509623.0,ns,138
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,120280964.0,ns,140
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,116898491.0,ns,142
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,121984351.0,ns,144
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,113369911.0,ns,146
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,130900508.0,ns,148
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,121248612.0,ns,150
mate_in_2,,https://lichess.org/analysis/6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K_b_-,,,130628592.0,ns,152
