group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,1787888.0,ns,1
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,2330316.0,ns,2
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,5330063.0,ns,3
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,6761835.0,ns,4
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,8510321.0,ns,5
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,6972845.0,ns,6
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,8364313.0,ns,7
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,9418666.0,ns,8
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,12090698.0,ns,9
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,14375611.0,ns,10
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,15612972.0,ns,11
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,16925438.0,ns,12
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,19992688.0,ns,13
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,18601720.0,ns,14
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,18464513.0,ns,15
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,19124046.0,ns,16
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,20470312.0,ns,17
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,22989337.0,ns,18
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,22128795.0,ns,19
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,24505112.0,ns,20
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,24396506.0,ns,21
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,26140293.0,ns,22
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,24041889.0,ns,23
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,24874130.0,ns,24
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,27079439.0,ns,25
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,34435103.0,ns,26
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,33095337.0,ns,27
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,38348896.0,ns,28
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,36211591.0,ns,29
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,37772268.0,ns,30
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,36949427.0,ns,31
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,37405950.0,ns,32
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,40084583.0,ns,33
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,40367396.0,ns,34
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,42475201.0,ns,35
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,44022177.0,ns,36
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,39908373.0,ns,37
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,46385394.0,ns,38
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,49106929.0,ns,39
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,49251036.0,ns,40
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,55055222.0,ns,41
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,44475100.0,ns,42
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,49443945.0,ns,43
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,52124078.0,ns,44
mate_in_2,,https://lichess.org/analysis/7R/1bpkp3/p2pp3/3P4/4B1q1/2Q5/4NrP1/3K4_w_-,,,54043772.0,ns,45
