group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,2502455.0,ns,2
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,2994184.0,ns,4
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,4611484.0,ns,6
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,6219884.0,ns,8
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,7632270.0,ns,10
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,9309673.0,ns,12
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,10624255.0,ns,14
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,9706698.0,ns,16
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,12665981.0,ns,18
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,16088891.0,ns,20
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,16796535.0,ns,22
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,19342892.0,ns,24
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,20012633.0,ns,26
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,24041781.0,ns,28
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,19383895.0,ns,30
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,17931405.0,ns,32
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,28054828.0,ns,34
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,27420390.0,ns,36
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,19628009.0,ns,38
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,25984202.0,ns,40
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,32882526.0,ns,42
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,32438398.0,ns,44
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,35372180.0,ns,46
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,38597078.0,ns,48
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,41420552.0,ns,50
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,51321363.0,ns,52
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,50996442.0,ns,54
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,39651343.0,ns,56
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,40601002.0,ns,58
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,47381219.0,ns,60
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,48311577.0,ns,62
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,42235903.0,ns,64
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,48165668.0,ns,66
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,52140012.0,ns,68
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,51568878.0,ns,70
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,50172290.0,ns,72
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,51975401.0,ns,74
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,57990871.0,ns,76
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,57693153.0,ns,78
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,53958123.0,ns,80
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,54608164.0,ns,82
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,57325830.0,ns,84
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,63453708.0,ns,86
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,60843147.0,ns,88
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,60018196.0,ns,90
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,55284305.0,ns,92
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,69464178.0,ns,94
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,71539006.0,ns,96
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,79047668.0,ns,98
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,82218564.0,ns,100
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,84795622.0,ns,102
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,78015302.0,ns,104
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,77676181.0,ns,106
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,86446022.0,ns,108
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,77353261.0,ns,110
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,102290897.0,ns,112
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,107517718.0,ns,114
mate_in_2,,https://lichess.org/analysis/7R/3r4/8/3pkp1p/5N1P/b3PK2/5P2/8_w_-,,,85786281.0,ns,116
