group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,1280948.0,ns,1
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,1732164.0,ns,2
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,2576296.0,ns,3
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,3429328.0,ns,4
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,4291360.0,ns,5
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,6243133.0,ns,6
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,6493241.0,ns,7
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,6989661.0,ns,8
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,7842692.0,ns,9
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,8690124.0,ns,10
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,9493953.0,ns,11
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,13769313.0,ns,12
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,12050949.0,ns,13
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,12046549.0,ns,14
mate_in_2,,https://lichess.org/analysis/7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1_b_-,,,16983333.0,ns,15
