group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,1222765.0,ns,1
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,1342371.0,ns,2
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,2018606.0,ns,3
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,2670241.0,ns,4
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,3481983.0,ns,5
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,4909159.0,ns,6
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,5396085.0,ns,7
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,6713453.0,ns,8
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,7493895.0,ns,9
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,6875663.0,ns,10
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,10213538.0,ns,11
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,13068989.0,ns,12
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,13745124.0,ns,13
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,15565520.0,ns,14
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,15661726.0,ns,15
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,17243108.0,ns,16
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,19381822.0,ns,17
mate_in_2,,https://lichess.org/analysis/7k/2p3pp/p7/1p1p4/PP2pr2/B1P3qP/4N1B1/R1Qn2K1_b_-,,,18889895.0,ns,18
