group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,2151114.0,ns,1
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,3044561.0,ns,2
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,5062868.0,ns,3
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,5674501.0,ns,4
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,7131277.0,ns,5
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,8556853.0,ns,6
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,12099041.0,ns,7
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,13723826.0,ns,8
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,11979934.0,ns,9
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,14947792.0,ns,10
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,30574218.0,ns,11
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,21130419.0,ns,12
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,24465695.0,ns,13
mate_in_2,,https://lichess.org/analysis/7k/p1p2bp1/3q1N1p/4rP2/4pQ2/2P4R/P2r2PP/4R2K_w_-,,,24339888.0,ns,14
