group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,1503285.0,ns,1
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,3913621.0,ns,2
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,3844917.0,ns,3
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,5559814.0,ns,4
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,6429664.0,ns,5
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,8024253.0,ns,6
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,9847857.0,ns,7
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,9648545.0,ns,8
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,9868858.0,ns,9
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,12617513.0,ns,10
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,14443016.0,ns,11
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,16475032.0,ns,12
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,18103023.0,ns,13
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,18499245.0,ns,14
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,21003887.0,ns,15
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,16696244.0,ns,16
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,22549974.0,ns,17
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,26036371.0,ns,18
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,22943097.0,ns,19
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,27177536.0,ns,20
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,25487040.0,ns,21
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,31651489.0,ns,22
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,33608200.0,ns,23
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,33227177.0,ns,24
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,33729306.0,ns,25
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,38704587.0,ns,26
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,39804650.0,ns,27
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,43842578.0,ns,28
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,42928826.0,ns,29
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,38827193.0,ns,30
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,41424741.0,ns,31
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,41996772.0,ns,32
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,44304903.0,ns,33
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,43259844.0,ns,34
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,44574218.0,ns,35
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,45365763.0,ns,36
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,49259083.0,ns,37
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,51729123.0,ns,38
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,48701651.0,ns,39
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,49380690.0,ns,40
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,43292946.0,ns,41
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,48326830.0,ns,42
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,60720931.0,ns,43
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,59703973.0,ns,44
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,60290406.0,ns,45
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,59582166.0,ns,46
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,62052506.0,ns,47
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,61295463.0,ns,48
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,58216388.0,ns,49
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,61858294.0,ns,50
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,56531793.0,ns,51
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,59442757.0,ns,52
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,76964246.0,ns,53
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,60694928.0,ns,54
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,73599857.0,ns,55
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,69658534.0,ns,56
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,75973291.0,ns,57
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,83938640.0,ns,58
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,79139870.0,ns,59
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,88499398.0,ns,60
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,79046364.0,ns,61
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,71210222.0,ns,62
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,73990878.0,ns,63
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,84818888.0,ns,64
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,75855983.0,ns,65
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,77815893.0,ns,66
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,75275249.0,ns,67
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,79095366.0,ns,68
mate_in_2,,https://lichess.org/analysis/7k/p5b1/1p4Bp/2q1p1p1/1P1n1r2/P2Q2N1/6P1/3R2K1_b_-,,,88522097.0,ns,69
