group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,1905592.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,3042345.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,4239403.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,5902283.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,8410603.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,8852124.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,9832271.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,15776656.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,16062669.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,13527148.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,14739406.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,22571581.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,21008407.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,25291211.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,26813584.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,23728437.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,29931334.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,38772657.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,40760852.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,40299431.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,42882054.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,40127721.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,46306118.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,43107664.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,49092351.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,50840535.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,59213136.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,50385613.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,51317157.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,63740952.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,62411688.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,51303557.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,66894504.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,65817752.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,72422268.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,73678328.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,86030520.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,67052011.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,72921091.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,71410119.0,ns,80
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,70744087.0,ns,82
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,72254359.0,ns,84
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,66868602.0,ns,86
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,79001382.0,ns,88
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,84751658.0,ns,90
mate_in_2,,https://lichess.org/analysis/8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K_w_-,,,97894587.0,ns,92
