group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,1728537.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,2521199.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,4749376.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,4554760.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,6097082.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,7864221.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,8526174.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,9931685.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,11994448.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,12076855.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,11041673.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,10617939.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,14699262.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,16895435.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,18053726.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,20588626.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,22461374.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,20874549.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,22447773.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,17909514.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,24767557.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,23087923.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,26075960.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,24535038.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,23183331.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,28567757.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,28312836.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,21785221.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,28881581.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,32950703.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,35625813.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,37587768.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,36352072.0,ns,33
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,33435241.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,29172604.0,ns,35
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,38630151.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,36193759.0,ns,37
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,41714195.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,49186885.0,ns,39
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,48056596.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,46041236.0,ns,41
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,44437410.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,44698631.0,ns,43
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,47700067.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,44950849.0,ns,45
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,49168080.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,54311486.0,ns,47
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,48579334.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,54230879.0,ns,49
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,52046007.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,56554562.0,ns,51
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,61362443.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,86866855.0,ns,53
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,57946772.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,65440964.0,ns,55
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,68323291.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,61882984.0,ns,57
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,58184191.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6_w_-,,,75514559.0,ns,59
