group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,2536514.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,4119484.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,5543748.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,7779449.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,9267815.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,13708813.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,12547362.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,14289539.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,17954604.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,15856410.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,17022562.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,21504162.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,26845101.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,26869303.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,28024454.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,25686450.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,26870002.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,38427020.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,44887109.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,36055213.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,36865950.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,38032902.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,39658775.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,48287561.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,49759727.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,43882464.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,48089152.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,53747806.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,55576387.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,58978739.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,64124570.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,60326500.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,51421501.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,53086076.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,57029552.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,74058714.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,69500210.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,60677715.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,91946715.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,70688263.0,ns,80
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,67976142.0,ns,82
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,69237498.0,ns,84
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,91226582.0,ns,86
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,71155184.0,ns,88
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,99705962.0,ns,90
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,83660943.0,ns,92
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,84314073.0,ns,94
mate_in_2,,https://lichess.org/analysis/8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8_b_-,,,75259468.0,ns,96
