group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,1720993.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,2143216.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,3709300.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,4240730.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,5610403.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,6425448.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,8488259.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,8477858.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,10269856.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,10651176.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,11663431.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,12831594.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,14769999.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,14984110.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,16001965.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,17975172.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,18483500.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,20847928.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,26647341.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,22341809.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,25402274.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,25315269.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,27103865.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,31001076.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,31103682.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,35161901.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,32224342.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,45258447.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,34539868.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,39872956.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,35375912.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,42330789.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,46178097.0,ns,33
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,40233875.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,43471550.0,ns,35
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,46959339.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,46384908.0,ns,37
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,45238946.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,47425464.0,ns,39
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,45693371.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,47570671.0,ns,41
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,39650044.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,59123997.0,ns,43
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,48848141.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,49716488.0,ns,45
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,52171720.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,52996764.0,ns,47
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,59821433.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,59926739.0,ns,49
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,59055191.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,52553340.0,ns,51
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,49198359.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,65309230.0,ns,53
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,64770800.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,65985666.0,ns,55
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,71288253.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6_b_-,,,77197672.0,ns,57
