group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,1288267.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,2057106.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,2619736.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,4429130.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,4959858.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,5507185.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,8723553.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,6674446.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,9820310.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,10007519.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,8650849.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,9868912.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,13288090.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,14415047.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,16273444.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,14862771.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,14596757.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,20310254.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,14637660.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,16397751.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,23123699.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,20773878.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,26325966.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,25073901.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,25388018.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,28737891.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,27771941.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,31213719.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,30181666.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,28989504.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,25322014.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,30951206.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/3R3p/2b4k/p1p1B1p1/2n2PB1/3p1P2/P7/6K1_w_-,,,35949966.0,ns,33
