group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,1729189.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,2144110.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,3415876.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,4405327.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,4895952.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,5297173.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,8786753.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,8638745.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,13016271.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,11923814.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,12498044.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,12444541.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,20025931.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,16515951.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,14422243.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,14751760.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,18372646.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/4n2k/b1Pp2p1/3Ppp1p/p2qP3/3B1P2/Q2NK1PP/3R4_b_-,,,15128379.0,ns,18
