group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,1548971.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,2396310.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,4788519.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,3101442.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,3857977.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,5236640.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,9435633.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,6729509.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,8233577.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,9963757.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,8952111.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,12681181.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,13534521.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,15843826.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,11585731.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,12169258.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,13101400.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,19317086.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,19628800.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,25166654.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,24036902.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,20813754.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,21131969.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,18913467.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,26924134.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,23033656.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,24938044.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,27582464.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,32826605.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,27967282.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,31975466.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,26296106.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,38626871.0,ns,33
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,40914576.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,43934614.0,ns,35
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,39805125.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,38072945.0,ns,37
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,45863203.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,50868832.0,ns,39
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,40771769.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,47816292.0,ns,41
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,52620213.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,48643830.0,ns,43
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,47879395.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,53272242.0,ns,45
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,42773761.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,55517545.0,ns,47
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,47816992.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,52665514.0,ns,49
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,65287693.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,59878145.0,ns,51
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,63108192.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,45574589.0,ns,53
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,58176667.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,64950177.0,ns,55
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,72979546.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,58619287.0,ns,57
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,62866081.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,66357042.0,ns,59
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,62188051.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,57697444.0,ns,61
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,68139824.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,76348799.0,ns,63
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,70346824.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,66264137.0,ns,65
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,61239007.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,70517232.0,ns,67
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,69985007.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,67676902.0,ns,69
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,79766156.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,76182391.0,ns,71
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,81665643.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,85307110.0,ns,73
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,82417377.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,79096425.0,ns,75
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,82323973.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,85776630.0,ns,77
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,88161940.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,93314676.0,ns,79
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,109756030.0,ns,80
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,113051180.0,ns,81
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,86412860.0,ns,82
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,77566154.0,ns,83
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,89272191.0,ns,84
mate_in_2,,https://lichess.org/analysis/8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2_w_-,,,100418901.0,ns,85
