group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,1301868.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,1726090.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,2449928.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,3061360.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,4005010.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,4837253.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,7736104.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,7810109.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,10992175.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,11729613.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,15291100.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,15100789.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,16337855.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,18224053.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,21406019.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,13907528.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,20376465.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,21297214.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,23579833.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,17211300.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,24204866.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,25148315.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,20913094.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,19974745.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,28861109.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,28108970.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,32403795.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,26703996.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,31675457.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,29864261.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,36366702.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,58849578.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,43964899.0,ns,33
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,42943146.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,42176105.0,ns,35
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,39408161.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,41955294.0,ns,37
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,39189350.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,48026211.0,ns,39
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,46161513.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,43676184.0,ns,41
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,51621499.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,43850792.0,ns,43
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,39400860.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,41047046.0,ns,45
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,45803394.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,60147245.0,ns,47
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,51204177.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,44653435.0,ns,49
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,55671910.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,59108391.0,ns,51
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,58415854.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,53759511.0,ns,53
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,66035752.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,65681034.0,ns,55
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,59914533.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,57667015.0,ns,57
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,62005541.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,58854776.0,ns,59
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,57264793.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,59541012.0,ns,61
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,59291499.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,68899602.0,ns,63
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,60712973.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,69562836.0,ns,65
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,60836280.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,76773713.0,ns,67
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,78382697.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,70603491.0,ns,69
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,70107665.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,66832793.0,ns,71
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,78435400.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,86232406.0,ns,73
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,76426494.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,72007963.0,ns,75
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,73936564.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,80796122.0,ns,77
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,79507055.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,92356927.0,ns,79
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,88310815.0,ns,80
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,79872374.0,ns,81
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,79649162.0,ns,82
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,95429587.0,ns,83
mate_in_2,,https://lichess.org/analysis/8/8/2K2b2/2N2k2/1p4R1/1B3n1P/3r1P2/8_w_-,,,89896798.0,ns,84
