group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,1333273.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,2075115.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,3148874.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,3840812.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,7640922.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,8802586.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,10223365.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,12781606.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,10823498.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,9966350.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,10584085.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,18100600.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,18951146.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,17426163.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,22471241.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,24785169.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,25075785.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,26956989.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,29391224.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,37010144.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,38392921.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,33559353.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,35133541.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,30768499.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,32513096.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,40263424.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,39616189.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,46969494.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,53611361.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,52705211.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,52914323.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,46151349.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,42430344.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,46218752.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,55085342.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,50929313.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,51918166.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,58904653.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,57243161.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/8/8/5P2/R2p1N2/4n1r1/PP6/5k1K_b_-,,,57038549.0,ns,80
