group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,1609087.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,3258475.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,3678398.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,3435184.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,3965513.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,7016577.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,8024531.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,9432907.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,10526565.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,8754571.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,10614370.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,13300814.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,11648126.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,10243750.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,14363972.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,17526342.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,15213517.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,17562743.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,21701565.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,21835073.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,24671024.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,24216300.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,26344514.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,28195714.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,27622584.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,31557594.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,29606090.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,33228884.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,34913475.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,35047781.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,39057298.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,41171710.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,39853240.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,40327766.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,46216381.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,43698947.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,44591594.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,45123323.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,46785212.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,49087036.0,ns,80
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,48300093.0,ns,82
mate_in_2,,https://lichess.org/analysis/8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8_w_-,,,51772580.0,ns,84
