group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,2296932.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,3637708.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,5044489.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,10074877.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,8684897.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,13744186.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,14436227.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,11798475.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,14096207.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,12130895.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,12525717.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,19739030.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,24371695.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,24419898.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,27407769.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/k1p1q3/Pp5Q/4p3/2P1P2p/3P4/4K3/8_w_-,,,32251846.0,ns,32
