group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,1177776.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,1340087.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,2027832.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,4061064.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,6742337.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,6083895.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,7544790.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,8433648.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,9396310.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,11657757.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,11382139.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,12110887.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,13669687.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,15681818.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,17111511.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,16957101.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,18575806.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,18153978.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,20476829.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,20380323.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,23155204.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,23108200.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,21055568.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,23462223.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,21257580.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,25719170.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,29273301.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,29514115.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,26547923.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,30414873.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,30279665.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,31074317.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,33906100.0,ns,33
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,38727514.0,ns,34
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,33154251.0,ns,35
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,30277865.0,ns,36
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,34933667.0,ns,37
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,37273919.0,ns,38
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,39708177.0,ns,39
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,41847015.0,ns,40
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,43452720.0,ns,41
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,37777652.0,ns,42
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,42165436.0,ns,43
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,38688611.0,ns,44
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,42945987.0,ns,45
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,59667272.0,ns,46
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,61424486.0,ns,47
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,62205637.0,ns,48
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,48990079.0,ns,49
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,44737203.0,ns,50
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,45880177.0,ns,51
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,47197462.0,ns,52
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,59680571.0,ns,53
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,54306922.0,ns,54
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,53272655.0,ns,55
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,58838216.0,ns,56
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,61396482.0,ns,57
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,65384241.0,ns,58
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,46694228.0,ns,59
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,62866478.0,ns,60
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,63536521.0,ns,61
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,51375632.0,ns,62
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,64684895.0,ns,63
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,54477733.0,ns,64
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,55562404.0,ns,65
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,64855306.0,ns,66
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,62227136.0,ns,67
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,54280320.0,ns,68
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,64367274.0,ns,69
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,54382625.0,ns,70
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,81791902.0,ns,71
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,67097749.0,ns,72
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,79090227.0,ns,73
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,66760927.0,ns,74
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,67077948.0,ns,75
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,67126952.0,ns,76
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,55354588.0,ns,77
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,59040627.0,ns,78
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,76422653.0,ns,79
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,75242078.0,ns,80
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,105719352.0,ns,81
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,113663468.0,ns,82
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,84733890.0,ns,83
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,75405885.0,ns,84
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,91666138.0,ns,85
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,76378748.0,ns,86
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,82372136.0,ns,87
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,86578909.0,ns,88
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,77273806.0,ns,89
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,72945726.0,ns,90
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,76378148.0,ns,91
mate_in_2,,https://lichess.org/analysis/8/p2q1p1k/4pQp1/1p1b2Bp/7P/8/5PP1/6K1_w_-,,,88722148.0,ns,92
