group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,1289973.0,ns,1
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,1698397.0,ns,2
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,2504442.0,ns,3
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,3147579.0,ns,4
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,4050831.0,ns,5
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,4967482.0,ns,6
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,5860733.0,ns,7
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,8993311.0,ns,8
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,9337430.0,ns,9
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,10356189.0,ns,10
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,8991411.0,ns,11
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,9431837.0,ns,12
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,11799471.0,ns,13
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,15342072.0,ns,14
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,25710562.0,ns,15
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,25466347.0,ns,16
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,21273009.0,ns,17
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,24874514.0,ns,18
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,25110428.0,ns,19
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,25406844.0,ns,20
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,26955333.0,ns,21
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,29983605.0,ns,22
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,32023020.0,ns,23
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,31497891.0,ns,24
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,34593867.0,ns,25
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,39061621.0,ns,26
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,30233219.0,ns,27
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,37285519.0,ns,28
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,35038493.0,ns,29
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,43775588.0,ns,30
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,34064437.0,ns,31
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,30002806.0,ns,32
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,30390028.0,ns,33
mate_in_2,,https://lichess.org/analysis/8/pp2k3/7r/2P1p1p1/4P3/5pq1/2R3N1/1R3BK1_b_-,,,34219644.0,ns,34
