group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,1570693.0,ns,2
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,2461046.0,ns,4
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,3903131.0,ns,6
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,7234829.0,ns,8
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,9580467.0,ns,10
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,8257289.0,ns,12
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,12868762.0,ns,14
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,13215283.0,ns,16
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,15274804.0,ns,18
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,13685111.0,ns,20
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,14213241.0,ns,22
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,20209197.0,ns,24
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,22844653.0,ns,26
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,17189317.0,ns,28
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,27254113.0,ns,30
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,31503466.0,ns,32
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,28455485.0,ns,34
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,35821921.0,ns,36
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,32958852.0,ns,38
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,37697432.0,ns,40
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,38542781.0,ns,42
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,31357856.0,ns,44
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,40736611.0,ns,46
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,34406437.0,ns,48
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,31246950.0,ns,50
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,33471981.0,ns,52
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,42729429.0,ns,54
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,46206735.0,ns,56
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,44156613.0,ns,58
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,50358281.0,ns,60
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,59313411.0,ns,62
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,59674632.0,ns,64
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,49271216.0,ns,66
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,60227765.0,ns,68
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,56492243.0,ns,70
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,60916606.0,ns,72
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,57741518.0,ns,74
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,63114935.0,ns,76
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,64684129.0,ns,78
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,68332144.0,ns,80
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,68768569.0,ns,82
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,86982346.0,ns,84
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,83708253.0,ns,86
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,78072919.0,ns,88
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,71298518.0,ns,90
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,74404402.0,ns,92
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,85205141.0,ns,94
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,82908705.0,ns,96
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,74102584.0,ns,98
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,83295428.0,ns,100
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,82598386.0,ns,102
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,99727000.0,ns,104
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,106541602.0,ns,106
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,101074477.0,ns,108
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,108071491.0,ns,110
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,110900958.0,ns,112
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,101028774.0,ns,114
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,90452949.0,ns,116
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,83246023.0,ns,118
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,97069640.0,ns,120
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,96802125.0,ns,122
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,111851814.0,ns,124
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,120743438.0,ns,126
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,115623835.0,ns,128
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,128938922.0,ns,130
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,130578618.0,ns,132
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,127226021.0,ns,134
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,99582586.0,ns,136
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,130589819.0,ns,138
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,111285478.0,ns,140
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,114405862.0,ns,142
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,119925786.0,ns,144
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,128239877.0,ns,146
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,130494410.0,ns,148
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,145847017.0,ns,150
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,130746025.0,ns,152
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,134435243.0,ns,154
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,115960451.0,ns,156
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,146083229.0,ns,158
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,146119830.0,ns,160
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,148573874.0,ns,162
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,120716530.0,ns,164
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,146060526.0,ns,166
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,132297113.0,ns,168
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,147453209.0,ns,170
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,157517300.0,ns,172
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,146144627.0,ns,174
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,197072634.0,ns,176
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,190291334.0,ns,178
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,182171754.0,ns,180
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,169012777.0,ns,182
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,199156353.0,ns,184
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,158931278.0,ns,186
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,175082131.0,ns,188
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,163137226.0,ns,190
mate_in_2,,https://lichess.org/analysis/N5k1/5p2/6p1/6Pp/4bb1P/P5r1/7K/2R3R1_b_-,,,173483137.0,ns,192
