group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,1379673.0,ns,1
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,2038809.0,ns,2
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,4490539.0,ns,3
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,8171536.0,ns,4
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,12414662.0,ns,5
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,7683910.0,ns,6
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,7728312.0,ns,7
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,10487060.0,ns,8
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,11337805.0,ns,9
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,14242859.0,ns,10
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,16853399.0,ns,11
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,16444977.0,ns,12
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,16166362.0,ns,13
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,16315771.0,ns,14
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,19081017.0,ns,15
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,18621493.0,ns,16
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,20221879.0,ns,17
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,24354899.0,ns,18
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,29220659.0,ns,19
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,33250173.0,ns,20
mate_in_2,,https://lichess.org/analysis/Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2_w_-,,,26173496.0,ns,21
