group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,1440668.0,ns,1
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,2725028.0,ns,2
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,4041690.0,ns,3
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,5372352.0,ns,4
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,7195638.0,ns,5
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,7126935.0,ns,6
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,9289136.0,ns,7
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,11090621.0,ns,8
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,12818302.0,ns,9
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,13855551.0,ns,10
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,11315332.0,ns,11
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,12787901.0,ns,12
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,16835091.0,ns,13
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,15536329.0,ns,14
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,20973386.0,ns,15
mate_in_2,,https://lichess.org/analysis/b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1_b_-,,,18816884.0,ns,16
