group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,1263903.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,3143056.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,2762025.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,4706183.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,5242128.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,5923083.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,6969068.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,9364863.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,10647368.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,10149928.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,13574707.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,13289783.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,13513202.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,17681142.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,14987721.0,ns,15
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,17063792.0,ns,16
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,22798158.0,ns,17
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,18929344.0,ns,18
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,21043415.0,ns,19
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,20683887.0,ns,20
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,28811549.0,ns,21
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,28167296.0,ns,22
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,27394633.0,ns,23
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,23835244.0,ns,24
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,25791302.0,ns,25
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,25866909.0,ns,26
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,27780265.0,ns,27
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,34870543.0,ns,28
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,29259886.0,ns,29
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,33658644.0,ns,30
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,33718949.0,ns,31
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,32938983.0,ns,32
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,39728036.0,ns,33
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,40470996.0,ns,34
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,29988642.0,ns,35
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,36729891.0,ns,36
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,44364614.0,ns,37
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,43996083.0,ns,38
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,41204756.0,ns,39
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,50631524.0,ns,40
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,41135651.0,ns,41
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,44196200.0,ns,42
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,49279113.0,ns,43
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,93428410.0,ns,44
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,49367521.0,ns,45
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,50452210.0,ns,46
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,52359764.0,ns,47
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,49637543.0,ns,48
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,51291678.0,ns,49
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,56646014.0,ns,50
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,56443297.0,ns,51
mate_in_2,,https://lichess.org/analysis/r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1_w_-,,,51858224.0,ns,52
