group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,1534208.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,2136151.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,5663099.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,5947919.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,4966350.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,6088229.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,6792079.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,8397191.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,8814521.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,12482580.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,16604870.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,14688935.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,19327962.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,18683016.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,14950454.0,ns,15
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,21443311.0,ns,16
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,22030452.0,ns,17
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,27824861.0,ns,18
mate_in_2,,https://lichess.org/analysis/r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1_w_-,,,27640947.0,ns,19
