group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,1818969.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,2989113.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,5134594.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,6099430.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,5849621.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,6942363.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,11165422.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,11348929.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,10755306.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,14884863.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,18647305.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,22079634.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,18408096.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,29949132.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,30486853.0,ns,15
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,21917428.0,ns,16
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,29694023.0,ns,17
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1_w_-,,,34159891.0,ns,18
