group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,1375151.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,2593698.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,3188020.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,4015450.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,4508670.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,7474881.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,10053777.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,7827194.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,8701627.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,9025039.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,10421392.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1_w_-,,,14393640.0,ns,12
