group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,1715090.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,2855150.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,6165524.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,5617595.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,7910216.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,9802615.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,12218842.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,8789661.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,17367212.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,15448911.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,18101851.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,13469707.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,20130057.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,21813546.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,18440568.0,ns,15
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,19843242.0,ns,16
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,25573343.0,ns,17
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,25473738.0,ns,18
mate_in_2,,https://lichess.org/analysis/r1b2k2/1p1p1r1B/n4p2/p1qPp3/2P4N/4P1R1/PPQ3PP/R5K1_w_-,,,32043182.0,ns,19
