group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,1501710.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,1958144.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,2902413.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,4049398.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,6393070.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,7470149.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,10450668.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,8657137.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,11251127.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,12100889.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,13833017.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,13269176.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,13631402.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,20079076.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,20914137.0,ns,15
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,22268737.0,ns,16
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,20806329.0,ns,17
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,26892577.0,ns,18
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,21107452.0,ns,19
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,26718764.0,ns,20
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,32428684.0,ns,21
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,32401781.0,ns,22
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,34499436.0,ns,23
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,33727580.0,ns,24
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,32458386.0,ns,25
mate_in_2,,https://lichess.org/analysis/r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1_w_-,,,38399222.0,ns,26
