group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,1275356.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,2446706.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,4719306.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,7565430.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,8037351.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,9078296.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,11221190.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,9762826.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,10917876.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,12165531.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,13942308.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,14602337.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,16850036.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,19137835.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,19696359.0,ns,15
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,19482850.0,ns,16
mate_in_2,,https://lichess.org/analysis/r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R_w_KQ,,,21601743.0,ns,17
