group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,1811021.0,ns,1
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,2367659.0,ns,2
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,3540236.0,ns,3
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,5242551.0,ns,4
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,5966198.0,ns,5
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,7077673.0,ns,6
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,9263419.0,ns,7
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,9432831.0,ns,8
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,10681013.0,ns,9
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,12942265.0,ns,10
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,14501469.0,ns,11
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,14289655.0,ns,12
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,16747519.0,ns,13
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,23493970.0,ns,14
mate_in_2,,https://lichess.org/analysis/r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4_w_-,,,23016738.0,ns,15
