group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,1077901.0,ns,19
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,1427902.0,ns,38
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,2240803.0,ns,57
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,2848403.0,ns,76
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,3536604.0,ns,95
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,4286805.0,ns,114
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,4951106.0,ns,133
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,5374007.0,ns,152
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,6133007.0,ns,171
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,7152008.0,ns,190
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,7621310.0,ns,209
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,8451810.0,ns,228
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,8843110.0,ns,247
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,9684212.0,ns,266
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,10189412.0,ns,285
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,11027713.0,ns,304
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,11992414.0,ns,323
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,14068617.0,ns,342
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,13940617.0,ns,361
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,14281117.0,ns,380
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,14859717.0,ns,399
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,15510619.0,ns,418
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,16345619.0,ns,437
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,26395532.0,ns,456
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,17429721.0,ns,475
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,17926521.0,ns,494
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,19043423.0,ns,513
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,19750123.0,ns,532
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,20961025.0,ns,551
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,21021925.0,ns,570
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,22363027.0,ns,589
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,22704927.0,ns,608
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,23295028.0,ns,627
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,30912037.0,ns,646
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,26147431.0,ns,665
mate_in_2,,https://lichess.org/analysis/r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1_w_-,,,26006531.0,ns,684
