group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,2793955.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,4153231.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,4677760.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,5747120.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,8575777.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,9763844.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,10487583.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,12572000.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,14255294.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,14287496.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,15714774.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,18079507.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,18844149.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,21513598.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,21372690.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,25654228.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,24591569.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,26499476.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,28939011.0,ns,19
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,26002347.0,ns,20
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,35050552.0,ns,21
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,34613927.0,ns,22
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,39084976.0,ns,23
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,35207760.0,ns,24
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,35982503.0,ns,25
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,40696266.0,ns,26
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,53150959.0,ns,27
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,41181193.0,ns,28
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,52648131.0,ns,29
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,57217086.0,ns,30
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,60334759.0,ns,31
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,46822107.0,ns,32
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,48687610.0,ns,33
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,50213596.0,ns,34
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,51421863.0,ns,35
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,49723867.0,ns,36
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,52701633.0,ns,37
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,52587026.0,ns,38
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,60828585.0,ns,39
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,62824396.0,ns,40
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,82230876.0,ns,41
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,64156570.0,ns,42
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,63320124.0,ns,43
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,55176170.0,ns,44
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,78965494.0,ns,45
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,73373983.0,ns,46
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,71024252.0,ns,47
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,76779872.0,ns,48
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,69261454.0,ns,49
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,70115601.0,ns,50
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,74487044.0,ns,51
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,76535357.0,ns,52
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,73762603.0,ns,53
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,82299678.0,ns,54
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,64721199.0,ns,55
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,86813829.0,ns,56
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,87027741.0,ns,57
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,89474476.0,ns,58
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,83751559.0,ns,59
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,97307712.0,ns,60
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,76788371.0,ns,61
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,90752648.0,ns,62
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,95385304.0,ns,63
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,86891930.0,ns,64
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,95295798.0,ns,65
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,98845095.0,ns,66
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,89766190.0,ns,67
mate_in_2,,https://lichess.org/analysis/r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R_w_-,,,101573247.0,ns,68
