group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,1592760.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,3080515.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,3545233.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,4082253.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,5362102.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,6323437.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,9861970.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,8673026.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,11555933.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,15003963.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,15716490.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,15592685.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,16464618.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,18757104.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,16287111.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,16585123.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,23887696.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,23548484.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,32620724.0,ns,19
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,27882547.0,ns,20
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,30057528.0,ns,21
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,24523920.0,ns,22
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,25568159.0,ns,23
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,30496645.0,ns,24
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,29664713.0,ns,25
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,34979213.0,ns,26
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,36805381.0,ns,27
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,31033865.0,ns,28
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,40714628.0,ns,29
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,36836482.0,ns,30
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,35995451.0,ns,31
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,34718903.0,ns,32
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,36595473.0,ns,33
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,40046503.0,ns,34
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,52743079.0,ns,35
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,52675677.0,ns,36
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,52298263.0,ns,37
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,50998714.0,ns,38
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,53337801.0,ns,39
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,57069942.0,ns,40
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,51462331.0,ns,41
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,60213760.0,ns,42
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,65524158.0,ns,43
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,63330277.0,ns,44
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,65430955.0,ns,45
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,60991789.0,ns,46
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,65028540.0,ns,47
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,62182434.0,ns,48
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,59302825.0,ns,49
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,66910711.0,ns,50
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,72101506.0,ns,51
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,78515346.0,ns,52
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,74357691.0,ns,53
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,72365015.0,ns,54
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,64383316.0,ns,55
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,68559773.0,ns,56
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,68838183.0,ns,57
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,84424868.0,ns,58
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,75004214.0,ns,59
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,89470457.0,ns,60
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,92313864.0,ns,61
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,83806745.0,ns,62
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,87293576.0,ns,63
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,85809020.0,ns,64
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,93397204.0,ns,65
mate_in_2,,https://lichess.org/analysis/r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1_w_-,,,89778669.0,ns,66
