group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,1609569.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,2369002.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,3602355.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,5922155.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,5553439.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,8553668.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,9326202.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,10777464.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,10417449.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,11313288.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,14610529.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,20342776.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,17649661.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,20906600.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,23359107.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,22544371.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,28893945.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,35215917.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,33180529.0,ns,19
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,30052695.0,ns,20
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,36265362.0,ns,21
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,33219731.0,ns,22
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,33113627.0,ns,23
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,36107555.0,ns,24
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,39129786.0,ns,25
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,39511202.0,ns,26
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,40311837.0,ns,27
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,33532545.0,ns,28
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,42030510.0,ns,29
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,42018810.0,ns,30
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,46927122.0,ns,31
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,45294751.0,ns,32
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,60766718.0,ns,33
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,55518592.0,ns,34
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,52493861.0,ns,35
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,50639982.0,ns,36
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,59589867.0,ns,37
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,57713786.0,ns,38
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,59485162.0,ns,39
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,60085589.0,ns,40
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,59293854.0,ns,41
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,68952370.0,ns,42
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,64279469.0,ns,43
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,65140006.0,ns,44
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,66121049.0,ns,45
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,64625684.0,ns,46
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,65401917.0,ns,47
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,67654114.0,ns,48
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,81720521.0,ns,49
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,84351133.0,ns,50
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,78595786.0,ns,51
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,78770893.0,ns,52
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,81244499.0,ns,53
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,66129049.0,ns,54
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,81097393.0,ns,55
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,85924402.0,ns,56
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,87214656.0,ns,57
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,92213973.0,ns,58
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,84431437.0,ns,59
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,94375565.0,ns,60
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,98921861.0,ns,61
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,92728694.0,ns,62
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,94334963.0,ns,63
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,113177775.0,ns,64
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,107919549.0,ns,65
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,99208973.0,ns,66
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,112384141.0,ns,67
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,118511305.0,ns,68
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,104230989.0,ns,69
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,105757156.0,ns,70
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,109256905.0,ns,71
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,106950007.0,ns,72
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,118607709.0,ns,73
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,110085041.0,ns,74
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,111722212.0,ns,75
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,114726642.0,ns,76
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,111542404.0,ns,77
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,110206147.0,ns,78
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,104122384.0,ns,79
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,125803819.0,ns,80
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,128938553.0,ns,81
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,126125432.0,ns,82
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,123990840.0,ns,83
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,131223252.0,ns,84
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,134513693.0,ns,85
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,126810962.0,ns,86
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,138667972.0,ns,87
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,130378215.0,ns,88
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,136312371.0,ns,89
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,128926053.0,ns,90
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,130506720.0,ns,91
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,143626586.0,ns,92
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,144763234.0,ns,93
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,142840052.0,ns,94
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,162043078.0,ns,95
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,152094650.0,ns,96
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,145212254.0,ns,97
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,141101077.0,ns,98
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,140573253.0,ns,99
mate_in_2,,https://lichess.org/analysis/r2q1bk1/5n1p/2p3pP/p7/3Br3/1P3PQR/P5P1/2KR4_w_-,,,132858222.0,ns,100
