group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,1841169.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,2013074.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,4043651.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,5337999.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,4995086.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,6664148.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,6616546.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,19423123.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,11207617.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,13715010.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,14920055.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1_w_-,,,13344597.0,ns,12
