group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,1459654.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,1838568.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,4122154.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,4869581.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,6587745.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,6685749.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,10132478.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,10858404.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,10898606.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,14348634.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,11605332.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,15643383.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,18370784.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,17042034.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,14123926.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,21611105.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,22550040.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,25295042.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,24400908.0,ns,19
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,27599128.0,ns,20
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,25515050.0,ns,21
mate_in_2,,https://lichess.org/analysis/r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1_w_-,,,22248728.0,ns,22
