group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,1315901.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,2412785.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,4248126.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,4151818.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,4643057.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,6918031.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,8243532.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,9258411.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,9625839.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,12673172.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,13442432.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,12788081.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,12336647.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,11486782.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,17768963.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,20075841.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,21503750.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,30945575.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R_w_-,,,42160836.0,ns,19
