group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,1567760.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,3431430.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,4785281.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,6743656.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,10194087.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,15884103.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,11678843.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,12144061.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,13956129.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,14396647.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,16260017.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,18148288.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,18951319.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,21070000.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,21534817.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,23055275.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,25927083.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,31655701.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,29809531.0,ns,19
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,30018139.0,ns,20
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,30700065.0,ns,21
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,33051554.0,ns,22
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,34116195.0,ns,23
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,34422006.0,ns,24
