group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,1268402.0,ns,25
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,1968802.0,ns,50
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,2763903.0,ns,75
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,3646005.0,ns,100
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,4732505.0,ns,125
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,6811409.0,ns,150
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,6589407.0,ns,175
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,8018410.0,ns,200
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,8036910.0,ns,225
mate_in_2,,https://lichess.org/analysis/r2qkb1r/pp2nppp/3p4/2pNN1B1/2BnP3/3P4/PPP2PPP/R2bK2R_w_KQkq,,,9265911.0,ns,250
