group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,2204706.0,ns,1
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,3334860.0,ns,2
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,4932937.0,ns,3
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,5647972.0,ns,4
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,8159592.0,ns,5
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,9006633.0,ns,6
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,10568809.0,ns,7
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,11620958.0,ns,8
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,14726709.0,ns,9
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,15836161.0,ns,10
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,16424690.0,ns,11
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,18155173.0,ns,12
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,18838706.0,ns,13
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,19358031.0,ns,14
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,19572841.0,ns,15
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,28039848.0,ns,16
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,29567422.0,ns,17
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,26511775.0,ns,18
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,22998806.0,ns,19
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,22235769.0,ns,20
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,31414811.0,ns,21
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,31097495.0,ns,22
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,29004394.0,ns,23
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,38403647.0,ns,24
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,33983234.0,ns,25
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,44082020.0,ns,26
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,42249732.0,ns,27
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,42319335.0,ns,28
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,37769016.0,ns,29
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,39440597.0,ns,30
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,41427392.0,ns,31
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,42097124.0,ns,32
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,43506492.0,ns,33
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,45381183.0,ns,34
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,45883706.0,ns,35
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,47444081.0,ns,36
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,53113054.0,ns,37
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,47287273.0,ns,38
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,60369103.0,ns,39
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,55810883.0,ns,40
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,53692381.0,ns,41
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,53612477.0,ns,42
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,59243249.0,ns,43
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,62139387.0,ns,44
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,59180345.0,ns,45
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,53874590.0,ns,46
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,60843725.0,ns,47
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,73227021.0,ns,48
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,81291308.0,ns,49
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,75217516.0,ns,50
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,83375808.0,ns,51
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,83209900.0,ns,52
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,79581025.0,ns,53
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,85727321.0,ns,54
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,82937186.0,ns,55
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,139043383.0,ns,56
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,81388212.0,ns,57
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,89625708.0,ns,58
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,79348913.0,ns,59
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,81993941.0,ns,60
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,93302085.0,ns,61
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,100107711.0,ns,62
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,97578890.0,ns,63
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,102612531.0,ns,64
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,87983127.0,ns,65
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,87646712.0,ns,66
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,91445494.0,ns,67
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,79727631.0,ns,68
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,136101340.0,ns,69
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,100830045.0,ns,70
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,113276743.0,ns,71
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,110156394.0,ns,72
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,109453958.0,ns,73
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,129416818.0,ns,74
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,110922528.0,ns,75
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,106767929.0,ns,76
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,90028424.0,ns,77
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,106828832.0,ns,78
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,109885278.0,ns,79
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,116306288.0,ns,80
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,106309607.0,ns,81
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,109988983.0,ns,82
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,137257392.0,ns,83
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,121292425.0,ns,84
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,118857008.0,ns,85
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,110995030.0,ns,86
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,137159288.0,ns,87
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,124517080.0,ns,88
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,125124110.0,ns,89
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,131261303.0,ns,90
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,109353851.0,ns,91
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,120503986.0,ns,92
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,95642793.0,ns,93
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,126594478.0,ns,94
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,128855688.0,ns,95
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,136968476.0,ns,96
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,120630493.0,ns,97
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,129943639.0,ns,98
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,130552067.0,ns,99
mate_in_2,,https://lichess.org/analysis/r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1_w_-,,,138184233.0,ns,100
