group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,1711684.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,2423720.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,3592176.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,4782136.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,7858787.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,8407114.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,9445265.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,11931688.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,14440811.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,14785328.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,16626319.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,17412457.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,20402105.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,22277797.0,ns,14
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,22494608.0,ns,15
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,27445652.0,ns,16
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,22377002.0,ns,17
mate_in_2,,https://lichess.org/analysis/r3k2r/p3bpp1/2q1p1b1/1ppPP1B1/3n3P/5NR1/PP2NP2/K1QR4_b_kq,,,29799567.0,ns,18
