group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,1800807.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,3820926.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,4663776.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,6208368.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,7632852.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,9249247.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,10003992.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,10162902.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,14400552.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,18536197.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,17797354.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,17411930.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,19809973.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,24609256.0,ns,14
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,30523207.0,ns,15
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,25487609.0,ns,16
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,26966696.0,ns,17
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,28940413.0,ns,18
mate_in_2,,https://lichess.org/analysis/r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1_w_-,,,29500346.0,ns,19
