group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,1678173.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,2424807.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,3786366.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,5150326.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,5992063.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,7594033.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,8419069.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,13231881.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,14536237.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,14790649.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,15709289.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,14776949.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3_w_-,,,21937262.0,ns,13
