group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,1334173.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,1526883.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,2293725.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,3227376.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,3993317.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,5389894.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,7946932.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,9110696.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,11060603.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,7724820.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,12204465.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,13749549.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,12470179.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,12716192.0,ns,14
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,13375828.0,ns,15
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,16160080.0,ns,16
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,18842026.0,ns,17
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,19577166.0,ns,18
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,21205955.0,ns,19
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,23518180.0,ns,20
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,22466424.0,ns,21
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,23765094.0,ns,22
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,21196754.0,ns,23
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,23174162.0,ns,24
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,27521498.0,ns,25
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,25520290.0,ns,26
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,24869254.0,ns,27
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,26788259.0,ns,28
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,26810559.0,ns,29
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,28832270.0,ns,30
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,30050036.0,ns,31
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,30944384.0,ns,32
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,32466168.0,ns,33
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,35895455.0,ns,34
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,36573190.0,ns,35
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,34314968.0,ns,36
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,37117320.0,ns,37
mate_in_2,,https://lichess.org/analysis/r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1_w_-,,,44141702.0,ns,38
