group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,1331360.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,2648618.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,3844472.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,3310848.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,4273290.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,4965022.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,5756757.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,6377385.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,8185465.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,12053039.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,9943744.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,10092350.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,12699167.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1_w_-,,,17321974.0,ns,14
