group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,1818792.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,3534378.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,5169861.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,5457975.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,6382522.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,8755842.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,9460277.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,10136111.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,11400875.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,12623336.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,13822897.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,16104812.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,16365825.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K_w_-,,,18699944.0,ns,14
