group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,1547777.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,2669533.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,3881494.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,4095504.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,4746137.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,6318916.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,9903094.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,10723536.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,14202109.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,13459772.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,13062952.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,15205059.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,17625780.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,20469122.0,ns,14
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,22511524.0,ns,15
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,19632180.0,ns,16
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,19055951.0,ns,17
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,21411669.0,ns,18
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,21916894.0,ns,19
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,24056501.0,ns,20
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,24881142.0,ns,21
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,24657631.0,ns,22
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,26258511.0,ns,23
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,23764886.0,ns,24
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,27590978.0,ns,25
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,33729784.0,ns,26
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,54717032.0,ns,27
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,40321813.0,ns,28
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,38912442.0,ns,29
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,41125054.0,ns,30
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,38839339.0,ns,31
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,39680581.0,ns,32
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,29209858.0,ns,33
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,42418918.0,ns,34
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,41218458.0,ns,35
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,37729084.0,ns,36
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,41744284.0,ns,37
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,55112751.0,ns,38
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,46598727.0,ns,39
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,45771384.0,ns,40
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,44504721.0,ns,41
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,54581624.0,ns,42
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,54949442.0,ns,43
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,51163454.0,ns,44
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,58858737.0,ns,45
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,55286460.0,ns,46
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,51543972.0,ns,47
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,58287509.0,ns,48
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,57845687.0,ns,49
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,64109399.0,ns,50
mate_in_2,,https://lichess.org/analysis/r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1_w_-,,,67172053.0,ns,51
