group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,1980136.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,2770790.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,4083080.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,5518778.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,6861270.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,8182861.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,9761869.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,11936118.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,12734872.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,13684337.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,15983896.0,ns,11
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,16357621.0,ns,12
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,15674274.0,ns,13
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,19148912.0,ns,14
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,20602112.0,ns,15
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,22467139.0,ns,16
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,22533345.0,ns,17
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,25202327.0,ns,18
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,26944946.0,ns,19
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,29542625.0,ns,20
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,24364169.0,ns,21
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,27593091.0,ns,22
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,36056271.0,ns,23
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,33504296.0,ns,24
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,34562169.0,ns,25
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,37771988.0,ns,26
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,45338207.0,ns,27
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,37697383.0,ns,28
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,32591634.0,ns,29
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,33016962.0,ns,30
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,38164116.0,ns,31
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,44198526.0,ns,32
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,45091188.0,ns,33
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,59655885.0,ns,34
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,54086004.0,ns,35
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,51247209.0,ns,36
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,56164146.0,ns,37
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,67300808.0,ns,38
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,55752718.0,ns,39
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,56056138.0,ns,40
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,58113180.0,ns,41
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,59485773.0,ns,42
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,60584649.0,ns,43
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,73854357.0,ns,44
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,73961965.0,ns,45
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,64003382.0,ns,46
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,64293603.0,ns,47
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,63705562.0,ns,48
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,74650908.0,ns,49
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,70023691.0,ns,50
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,73197309.0,ns,51
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,75240348.0,ns,52
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,107357746.0,ns,53
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,87382179.0,ns,54
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,84349871.0,ns,55
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,72248844.0,ns,56
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,83127288.0,ns,57
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,78127846.0,ns,58
mate_in_2,,https://lichess.org/analysis/r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3_w_-,,,83103786.0,ns,59
