group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,1858099.0,ns,1
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,3795201.0,ns,2
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,3714196.0,ns,3
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,5520392.0,ns,4
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,8059827.0,ns,5
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,9274191.0,ns,6
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,9275391.0,ns,7
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,10774171.0,ns,8
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,14079746.0,ns,9
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,13231000.0,ns,10
mate_in_2,,https://lichess.org/analysis/r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1_w_-,,,14352061.0,ns,11
