group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,2686667.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,2510157.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,5638551.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,8698041.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,8876553.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,10108029.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,11238199.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,10189634.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,12315266.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,13421335.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,17417084.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,16096401.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,14671713.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,20262861.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,20811695.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,25731401.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,24241308.0,ns,17
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,23455359.0,ns,18
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,33541287.0,ns,19
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,29897060.0,ns,20
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,37663743.0,ns,21
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,37991764.0,ns,22
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,33372076.0,ns,23
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,30251882.0,ns,24
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,33499985.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,34479845.0,ns,26
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,37371025.0,ns,27
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,38165775.0,ns,28
mate_in_2,,https://lichess.org/analysis/r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R_w_-,,,38280481.0,ns,29
