group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,1235201.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,1806903.0,ns,50
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,2644503.0,ns,75
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,3888204.0,ns,100
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,4436706.0,ns,125
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,5195906.0,ns,150
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,6307807.0,ns,175
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,7189709.0,ns,200
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,8153710.0,ns,225
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,8972310.0,ns,250
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,10248513.0,ns,275
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,10528712.0,ns,300
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,11593314.0,ns,325
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,12743815.0,ns,350
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,14374117.0,ns,375
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,21085325.0,ns,400
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,21175126.0,ns,425
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,24184328.0,ns,450
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,19403424.0,ns,475
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,18679622.0,ns,500
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,19729923.0,ns,525
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,20953625.0,ns,550
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,21766226.0,ns,575
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,22523527.0,ns,600
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,24626929.0,ns,625
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,25395531.0,ns,650
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,26571331.0,ns,675
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,26786532.0,ns,700
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,29772736.0,ns,725
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,31294937.0,ns,750
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,29117235.0,ns,775
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,29382735.0,ns,800
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,31916638.0,ns,825
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,31293737.0,ns,850
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,31991238.0,ns,875
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,33627641.0,ns,900
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,37505344.0,ns,925
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,34890142.0,ns,950
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,36247443.0,ns,975
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,36836344.0,ns,1000
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,37329644.0,ns,1025
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,37610545.0,ns,1050
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,41110249.0,ns,1075
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,41516150.0,ns,1100
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,41809450.0,ns,1125
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,42435850.0,ns,1150
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,43425152.0,ns,1175
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,43452252.0,ns,1200
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,48630258.0,ns,1225
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,46637855.0,ns,1250
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,47280557.0,ns,1275
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,47896557.0,ns,1300
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,47744057.0,ns,1325
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,49342359.0,ns,1350
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,49502759.0,ns,1375
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,50568060.0,ns,1400
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,52382962.0,ns,1425
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,52470863.0,ns,1450
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,56039667.0,ns,1475
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,56137467.0,ns,1500
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,56095966.0,ns,1525
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,56145067.0,ns,1550
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,59535071.0,ns,1575
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,61388674.0,ns,1600
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,63760376.0,ns,1625
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,59399170.0,ns,1650
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,61573674.0,ns,1675
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,65926178.0,ns,1700
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,62966475.0,ns,1725
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,62866675.0,ns,1750
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,78522294.0,ns,1775
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,61776674.0,ns,1800
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,67749780.0,ns,1825
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,71685186.0,ns,1850
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,70284684.0,ns,1875
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,116067538.0,ns,1900
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,55949667.0,ns,1925
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,60708672.0,ns,1950
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,86959504.0,ns,1975
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,73167187.0,ns,2000
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,77599893.0,ns,2025
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,79257394.0,ns,2050
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,74703889.0,ns,2075
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,76817892.0,ns,2100
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,76335591.0,ns,2125
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,79200494.0,ns,2150
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,84037300.0,ns,2175
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,85887003.0,ns,2200
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,83813000.0,ns,2225
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,83783299.0,ns,2250
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,86047303.0,ns,2275
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,88752806.0,ns,2300
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,88879206.0,ns,2325
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,89411706.0,ns,2350
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,88954606.0,ns,2375
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,90563008.0,ns,2400
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,98429518.0,ns,2425
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,90412908.0,ns,2450
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,91841109.0,ns,2475
mate_in_2,,https://lichess.org/analysis/r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4_w_-,,,102247522.0,ns,2500
