group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,2937040.0,ns,1
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,2763931.0,ns,2
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,4917134.0,ns,3
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,4972836.0,ns,4
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,5546963.0,ns,5
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,6474808.0,ns,6
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,13482040.0,ns,7
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,9386245.0,ns,8
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,11382941.0,ns,9
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,18554081.0,ns,10
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,17226518.0,ns,11
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,17206317.0,ns,12
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,18103459.0,ns,13
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,19266115.0,ns,14
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,19183611.0,ns,15
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,21621126.0,ns,16
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,23534117.0,ns,17
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,23515117.0,ns,18
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,21978843.0,ns,19
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,25461309.0,ns,20
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,25611816.0,ns,21
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,26390353.0,ns,22
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,33792205.0,ns,23
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,31852212.0,ns,24
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,29296291.0,ns,25
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,39944796.0,ns,26
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,37184666.0,ns,27
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,37218166.0,ns,28
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,39302966.0,ns,29
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,41234857.0,ns,30
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,46703617.0,ns,31
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,43330157.0,ns,32
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,44801426.0,ns,33
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,44770125.0,ns,34
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,47741267.0,ns,35
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,55948155.0,ns,36
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,58104158.0,ns,37
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,54311978.0,ns,38
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,66096038.0,ns,39
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,61225806.0,ns,40
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,57057508.0,ns,41
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,57043508.0,ns,42
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,59233912.0,ns,43
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,56243669.0,ns,44
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,54798502.0,ns,45
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,53749851.0,ns,46
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,62544168.0,ns,47
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,63696723.0,ns,48
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,68565654.0,ns,49
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,65554611.0,ns,50
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,61624324.0,ns,51
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,69140181.0,ns,52
mate_in_2,,https://lichess.org/analysis/r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3_w_-,,,74672944.0,ns,53
